Date d'envoi;Nom du mail;Details clics;Nombre d'utilisateurs;Total clics;;;;;;;
14/10/2024;CX_VDN_VDN20241014_MDG - Edition Matin;cta abo 80ans;5;6;;;;;;;
13/10/2024;CX_VDN_VDN20241013_MDG - Edition Matin;cta abo 80ans;5;6;;;;;;;
12/10/2024;CX_VDN_VDN20241012_MDG - Edition Matin;cta abo 80ans;8;12;;;;;;;
11/10/2024;CX_VDN_VDN20241011_MDG - Edition Matin;cta abo 80ans;2;3;;;;;;;
10/10/2024;CX_VDN_VDN20241010_MDG - Edition Matin;cta abo 80ans;5;5;;;;;;;
09/10/2024;CX_VDN_VDN20241009_MDG - Edition Matin;cta abo 80ans;7;9;;;;;;;
08/10/2024;CX_VDN_VDN20241008_MDG - Edition Matin;cta abo 80ans;4;4;;;;;;;
07/10/2024;CX_VDN_VDN20241007_MDG - Edition Matin;cta abo 80ans;4;4;;;;;;;
06/10/2024;CX_VDN_VDN20241006_MDG - Edition Matin;cta abo 80ans;4;4;;;;;;;
05/10/2024;CX_VDN_VDN20241005_MDG - Edition Matin;cta abo 80ans;5;5;;;;;;;
04/10/2024;CX_VDN_VDN20241004_MDG - Edition Matin;cta abo 80ans;4;4;;;;;;;
03/10/2024;CX_VDN_VDN20241003_MDG - Edition Matin;cta abo 80ans;5;6;;;;;;;
02/10/2024;CX_VDN_VDN20241002_MDG - Edition Matin;cta abo 80ans;8;10;;;;;;;
01/10/2024;CX_VDN_VDN20241001_MDG - Edition Matin;cta abo 80ans;11;12;;;;;;;
30/09/2024;CX_VDN_VDN20240930_MDG - Edition Matin;cta abo 80ans;5;5;;;;;;;
30/09/2024;CX_VDN_VDN20240930_MDG - Edition Soir nonabo;cta abo 80ans;52;58;;;;;;;
29/09/2024;CX_VDN_VDN20240929_MDG - Edition Matin;cta abo 80ans;14;17;;;;;;;
29/09/2024;CX_VDN_VDN20240929_MDG - Edition Soir nonabo;cta abo 80ans;56;63;;;;;;;
28/09/2024;CX_VDN_VDN20240928_MDG - Edition Matin;cta abo 80ans;6;6;;;;;;;
28/09/2024;CX_VDN_VDN20240928_MDG - Edition Soir nonabo;cta abo 80ans;43;55;;;;;;;
27/09/2024;CX_VDN_VDN20240927_MDG - Edition Matin;cta abo 80ans;8;11;;;;;;;
27/09/2024;CX_VDN_VDN20240927_MDG - Edition Soir nonabo;cta abo 80ans;54;62;;;;;;;
26/09/2024;CX_VDN_VDN20240926_MDG - Edition Matin;cta abo 80ans;11;13;;;;;;;
26/09/2024;CX_VDN_VDN20240926_MDG - Edition Soir nonabo;cta abo 80ans;38;43;;;;;;;
25/09/2024;CX_VDN_VDN20240925_MDG - Edition Matin;cta abo 80ans;11;12;;;;;;;
25/09/2024;CX_VDN_VDN20240925_MDG - Edition Soir nonabo;cta abo 80ans;51;59;;;;;;;
24/09/2024;CX_VDN_VDN20240924_MDG - Edition Soir nonabo;cta abo 80ans;55;64;;;;;;;
;;;1750;1999;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date d'envoi;Campagne;#Mails cibles;#Mails delivres;#Rebonds;Taux de delivrabilite;#Vues uniques;Taux d'ouverture;#Clics uniques;Taux de clic;Taux de reactivite;Taux de desabo
20/09/2024;VDN_20240920_TRANSAC_80â‚¬_VIE;25203;25165;38;99,85%;1900;7,55%;57;0,23%;3,00%;0,00%
09/09/2024;VDN_20240909_FID_80_ANS_JJ_VF_OFFRES;473891;473223;668;99,86%;72539;15,33%;1610;0,34%;2,22%;0,00%
07/09/2024;VDN_20240907_transac_offre80_ans;30451;30385;66;99,78%;5867;19,31%;66;0,22%;1,12%;0,00%
06/09/2024;VDN_20240906_FID_80_ANS_JJ_invitation_1209;12218;12209;9;99,93%;5221;42,76%;338;2,77%;6,47%;0,00%
05/09/2024;VDN_20240905_FID_80_ANS_JJ_abo;43891;43857;34;99,92%;13937;31,78%;414;0,94%;2,97%;0,00%
;;585654;584839;815;99,87%;99464;23,35%;2485;0,90%;3,16%;0,00%
